Time,Unsubtracted Heat Flow,Baseline Heat Flow,Program Temperature,Sample Temperature,Approx. Gas Flow,Heat Flow Calibration,Uncorrected Heat Flow, 
0.057917,-2.031026,-11.951904,35.566000,33.904000,0.000000,1.056615,-2.031026, 
0.058333,-2.143767,-12.023436,35.608000,33.941000,0.000000,1.056615,-2.143767, 
0.058750,-2.251330,-12.090954,35.645000,33.983000,0.000000,1.056615,-2.251330, 
0.059167,-2.355090,-12.154774,35.687000,34.025000,0.000000,1.056615,-2.355090, 
0.059583,-2.453883,-12.215001,35.729000,34.066000,0.000000,1.056615,-2.453883, 
0.060000,-2.548239,-12.271213,35.766000,34.104000,0.000000,1.056615,-2.548239, 
0.060417,-2.638580,-12.324360,35.808000,34.141000,0.000000,1.056615,-2.638580, 
0.060833,-2.724377,-12.373176,35.845000,34.183000,0.000000,1.056615,-2.724377, 
0.061250,-2.805525,-12.418928,35.887000,34.225000,0.000000,1.056615,-2.805525, 
0.061667,-2.882552,-12.461615,35.929000,34.266000,0.000000,1.056615,-2.882552, 
0.062083,-2.954930,-12.499864,35.966000,34.308000,0.000000,1.056615,-2.954930, 
0.062500,-3.023082,-12.535367,36.008000,34.350000,0.000000,1.056615,-3.023082, 
0.062917,-3.086901,-12.567699,36.045000,34.391000,0.000000,1.056615,-3.086901, 
0.063333,-3.146600,-12.596545,36.087000,34.429000,0.000000,1.056615,-3.146600, 
0.063750,-3.201756,-12.622115,36.125000,34.466000,0.000000,1.056615,-3.201756, 
0.064167,-3.253107,-12.644515,36.166000,34.504000,0.000000,1.056615,-3.253107, 
0.064583,-3.299704,-12.663957,36.208000,34.545000,0.000000,1.056615,-3.299704, 
0.065000,-3.342391,-12.680334,36.245000,34.587000,0.000000,1.056615,-3.342391, 
0.065417,-3.381063,-12.694176,36.287000,34.629000,0.000000,1.056615,-3.381063, 
0.065833,-3.415720,-12.704848,36.325000,34.670000,0.000000,1.056615,-3.415720, 
0.066250,-3.446573,-12.712772,36.366000,34.712000,0.000000,1.056615,-3.446573, 
0.066667,-3.473200,-12.717950,36.404000,34.750000,0.000000,1.056615,-3.473200, 
0.067083,-3.495600,-12.720063,36.445000,34.787000,0.000000,1.056615,-3.495600, 
0.067500,-3.514514,-12.719852,36.487000,34.829000,0.000000,1.056615,-3.514514, 
0.067917,-3.529412,-12.717104,36.525000,34.870000,0.000000,1.056615,-3.529412, 
0.068333,-3.540612,-12.711610,36.566000,34.912000,0.000000,1.056615,-3.540612, 
0.068750,-3.548114,-12.704214,36.604000,34.950000,0.000000,1.056615,-3.548114, 
0.069167,-3.551918,-12.694176,36.645000,34.991000,0.000000,1.056615,-3.551918, 
0.069583,-3.552024,-12.681708,36.687000,35.033000,0.000000,1.056615,-3.552024, 
0.070000,-3.549065,-12.667232,36.725000,35.079000,0.000000,1.056615,-3.549065, 
0.070417,-3.541880,-12.650643,36.766000,35.116000,0.000000,1.056615,-3.541880, 
0.070833,-3.531842,-12.631941,36.804000,35.158000,0.000000,1.056615,-3.531842, 
0.071250,-3.518423,-12.611337,36.845000,35.195000,0.000000,1.056615,-3.518423, 
0.071667,-3.501412,-12.588514,36.883000,35.233000,0.000000,1.056615,-3.501412, 
0.072083,-3.481019,-12.563895,36.925000,35.270000,0.000000,1.056615,-3.481019, 
0.072500,-3.457668,-12.537163,36.966000,35.308000,0.000000,1.056615,-3.457668, 
